cmplid	oidno	mfr	make	model	year	crash	faildate	fire	injured	deaths	component	city	state	vin	dateadded	daterec	mileage	occurances	complaint	cmpl_type	police	datepurch	origowner	albrakes	cruise	cyls	drivetrain	fuelsys	fuel	trans	speed	dot	tiresize	tireloc	tirefailtype	origequip	mfrdate	seattype	restraint	dlrname	dlrphone	dlrcity	dlrstate	dlrzip	prodtype	repaired	medattn	NHTSA	forumtitle	forumurl	forumuser	forumcomment
119258	827411	MITSUBISHI MOTORS NORTH AMERICA, INC.	MITSUBISHI	MIRAGE	1997	N	20031001	N	1		AIR BAGS:FRONTAL	WASHINGTON	NC		19980831	20031001		1	VEHICLE HIT A DRAIN IN THE YARD AT 5 MPH AND BOTH FRONTAL AIRBAGS DEPLOYED. DEALER CAN'T FIND REASON FOR PROBLEM. DRIVER SUSTAINED INJURIES.  *AK    MECHANIC WROTE THERE WAS NO DAMAGE TO THE FRONT OR REAR OF THE VEHICLE TO MAKE THE AIR BAGS DEPLOY.   *PH  *JB	EVOQ	N		N	N	N				GS											CAROLINA BP		WASHINGTON	NC	27889	V			NHTSA				
123793	534376	TOYOTA MOTOR CORPORATION	TOYOTA	COROLLA	1998	N	20090820	N			STRUCTURE:BODY:DOOR 	NEW PORT R	FL	1NXBR12E4WZ	19981014	20100302		2	1998 TOYOTA COROLLA. ACCELERATED ON ITS OWN.  ON AUGUST 20, 1999, THE CONSUMER COMPLAINED ABOUT A RUBBING SOUND IN THE AREA OF THE RIGHT REAR TIRE WHEN THE BRAKES WERE APPLIED EARLY IN THE MORNINGS. THE MECHANIC COULD NOT FIND ANYTHING WRONG.  THE DOOR PANELS WERE REPLACED DUE TO THE GLUE COMING THROUGH THE FABRIC.  THE DOME LIGHT WOULD NOT COME ON AT TIMES. THE CONSUMER SUSPECTED THERE MAY BE AN ELECTRICAL PROBLEM.  *JB  THE CONSUMER STATED WHILE DRIVING AT A SPEED OF 44 MPH, THE VEHICLE WOULD ACCELERATE AND THEN DECREASE IN SPEED.  THE CONSUMER FIRST NOTICED THE PROBLEM WHEN THE AIR CONDITIONER WAS ON.  UPDATED 05/26/10.*JB	CON	N	19971201	Y	N	N	4	FWD	FI	GS		44									SUN TOYOTA					V			NHTSA				
123837	534376	TOYOTA MOTOR CORPORATION	TOYOTA	COROLLA	1998	N	20090820	N			ELECTRICAL SYSTEM	NEW PORT R	FL	1NXBR12E4WZ	19981014	20100302		2	1998 TOYOTA COROLLA. ACCELERATED ON ITS OWN.  ON AUGUST 20, 1999, THE CONSUMER COMPLAINED ABOUT A RUBBING SOUND IN THE AREA OF THE RIGHT REAR TIRE WHEN THE BRAKES WERE APPLIED EARLY IN THE MORNINGS. THE MECHANIC COULD NOT FIND ANYTHING WRONG.  THE DOOR PANELS WERE REPLACED DUE TO THE GLUE COMING THROUGH THE FABRIC.  THE DOME LIGHT WOULD NOT COME ON AT TIMES. THE CONSUMER SUSPECTED THERE MAY BE AN ELECTRICAL PROBLEM.  *JB  THE CONSUMER STATED WHILE DRIVING AT A SPEED OF 44 MPH, THE VEHICLE WOULD ACCELERATE AND THEN DECREASE IN SPEED.  THE CONSUMER FIRST NOTICED THE PROBLEM WHEN THE AIR CONDITIONER WAS ON.  UPDATED 05/26/10.*JB	CON	N	19971201	Y	N	N	4	FWD	FI	GS		44									SUN TOYOTA					V			NHTSA				
123838	534376	TOYOTA MOTOR CORPORATION	TOYOTA	COROLLA	1998	N	20090820	N			SERVICE BRAKES, HYDRAULIC	NEW PORT R	FL	1NXBR12E4WZ	19981014	20100302		2	1998 TOYOTA COROLLA. ACCELERATED ON ITS OWN.  ON AUGUST 20, 1999, THE CONSUMER COMPLAINED ABOUT A RUBBING SOUND IN THE AREA OF THE RIGHT REAR TIRE WHEN THE BRAKES WERE APPLIED EARLY IN THE MORNINGS. THE MECHANIC COULD NOT FIND ANYTHING WRONG.  THE DOOR PANELS WERE REPLACED DUE TO THE GLUE COMING THROUGH THE FABRIC.  THE DOME LIGHT WOULD NOT COME ON AT TIMES. THE CONSUMER SUSPECTED THERE MAY BE AN ELECTRICAL PROBLEM.  *JB  THE CONSUMER STATED WHILE DRIVING AT A SPEED OF 44 MPH, THE VEHICLE WOULD ACCELERATE AND THEN DECREASE IN SPEED.  THE CONSUMER FIRST NOTICED THE PROBLEM WHEN THE AIR CONDITIONER WAS ON.  UPDATED 05/26/10.*JB	CON	N	19971201	Y	N	N	4	FWD	FI	GS		44									SUN TOYOTA					V			NHTSA				
123839	534376	TOYOTA MOTOR CORPORATION	TOYOTA	COROLLA	1998	N	20090820	N			WHEELS	NEW PORT R	FL	1NXBR12E4WZ	19981014	20100302		2	1998 TOYOTA COROLLA. ACCELERATED ON ITS OWN.  ON AUGUST 20, 1999, THE CONSUMER COMPLAINED ABOUT A RUBBING SOUND IN THE AREA OF THE RIGHT REAR TIRE WHEN THE BRAKES WERE APPLIED EARLY IN THE MORNINGS. THE MECHANIC COULD NOT FIND ANYTHING WRONG.  THE DOOR PANELS WERE REPLACED DUE TO THE GLUE COMING THROUGH THE FABRIC.  THE DOME LIGHT WOULD NOT COME ON AT TIMES. THE CONSUMER SUSPECTED THERE MAY BE AN ELECTRICAL PROBLEM.  *JB  THE CONSUMER STATED WHILE DRIVING AT A SPEED OF 44 MPH, THE VEHICLE WOULD ACCELERATE AND THEN DECREASE IN SPEED.  THE CONSUMER FIRST NOTICED THE PROBLEM WHEN THE AIR CONDITIONER WAS ON.  UPDATED 05/26/10.*JB	CON	N	19971201	Y	N	N	4	FWD	FI	GS		44									SUN TOYOTA					V			NHTSA				
123841	534376	TOYOTA MOTOR CORPORATION	TOYOTA	COROLLA	1998	N	20090820	N			VEHICLE SPEED CONTROL	NEW PORT R	FL	1NXBR12E4WZ	19981014	20100302		2	1998 TOYOTA COROLLA. ACCELERATED ON ITS OWN.  ON AUGUST 20, 1999, THE CONSUMER COMPLAINED ABOUT A RUBBING SOUND IN THE AREA OF THE RIGHT REAR TIRE WHEN THE BRAKES WERE APPLIED EARLY IN THE MORNINGS. THE MECHANIC COULD NOT FIND ANYTHING WRONG.  THE DOOR PANELS WERE REPLACED DUE TO THE GLUE COMING THROUGH THE FABRIC.  THE DOME LIGHT WOULD NOT COME ON AT TIMES. THE CONSUMER SUSPECTED THERE MAY BE AN ELECTRICAL PROBLEM.  *JB  THE CONSUMER STATED WHILE DRIVING AT A SPEED OF 44 MPH, THE VEHICLE WOULD ACCELERATE AND THEN DECREASE IN SPEED.  THE CONSUMER FIRST NOTICED THE PROBLEM WHEN THE AIR CONDITIONER WAS ON.  UPDATED 05/26/10.*JB	CON	N	19971201	Y	N	N	4	FWD	FI	GS		44									SUN TOYOTA					V			NHTSA				
123842	534376	TOYOTA MOTOR CORPORATION	TOYOTA	COROLLA	1998	N	20090820	N			VEHICLE SPEED CONTROL	NEW PORT R	FL	1NXBR12E4WZ	19981014	20100302		2	1998 TOYOTA COROLLA. ACCELERATED ON ITS OWN.  ON AUGUST 20, 1999, THE CONSUMER COMPLAINED ABOUT A RUBBING SOUND IN THE AREA OF THE RIGHT REAR TIRE WHEN THE BRAKES WERE APPLIED EARLY IN THE MORNINGS. THE MECHANIC COULD NOT FIND ANYTHING WRONG.  THE DOOR PANELS WERE REPLACED DUE TO THE GLUE COMING THROUGH THE FABRIC.  THE DOME LIGHT WOULD NOT COME ON AT TIMES. THE CONSUMER SUSPECTED THERE MAY BE AN ELECTRICAL PROBLEM.  *JB  THE CONSUMER STATED WHILE DRIVING AT A SPEED OF 44 MPH, THE VEHICLE WOULD ACCELERATE AND THEN DECREASE IN SPEED.  THE CONSUMER FIRST NOTICED THE PROBLEM WHEN THE AIR CONDITIONER WAS ON.  UPDATED 05/26/10.*JB	CON	N	19971201	Y	N	N	4	FWD	FI	GS		44									SUN TOYOTA					V			NHTSA				
140352	533619	BMW OF NORTH AMERICA, LLC	BMW	BMW	9999	N	20040601	N			POWER TRAIN	ELDERSBURG	MD		19990209	20040614		1	THE CONSUMER BELIEVED THAT BMW WAS FRADULENTLY SELLING VEHICLE'S WITH SERIOUS DEFECTS IN THE TRANSMISSIONS.  COINCIDENTLY BMW HAVE BEEN REPLACING THE ORIGINAL TRANSMISSIONS WITH "NEW REBUILT" TRANSMISSIONS.   *SC  *JB	LETR	N		N	N	N																				V			NHTSA				
151984	544822	FORD MOTOR COMPANY	FORD	CROWN VICTORIA	1994	Y	20031008	N	1		AIR BAGS:FRONTAL	TEXAS CITY	TX	2FALP71W3RX	19990409	20031008		1	NO DEPLOYMENT OF DRIVERS AIRBAG IN  AN ACCIDENT, WHICH RESULTED IN INJURY.  ACCIDENT WAS A LEFT SIDE FRONTAL IMPACT OF 30-35 MPH, FORCEFUL ENOUGH FOR AIRBAG TO DEPLOY.(TEXAS POLICE DEPT.) THE PASSENGER SIDE AIR BAG DEPLOYED.  *JB	VOQ	Y	19940601	Y	N	N	8			GS	AUTO	35									GENE HAMON FORD		TEXAS CITY	TX	77590	V			NHTSA				
165116	842626	FORD MOTOR COMPANY	FORD	E-250	1995	N	20050101	N			SERVICE BRAKES, HYDRAULIC:ANTILOCK	BELVEDERE	IL		19990720	20050105	23000	1	ABS WARNING LIGHT ILLUMINATES, INDICATING A MALFUNCTION WITHIN THE SYSTEM. WHEN APPLYING ABS BRAKES ON WET  OR DRY PAVEMENT IN EMERGENCY STOPPING,  WHEELS LOCK UP, CAUSING THE VEHICLE TO SKID IN DIFFERENT DIRECTIONS.  PLEASE GIVE ANY FURTHER DETAILS.  *AK  THE VEHICLE COMPUTER CODE INDICATING FAILURE WAS CLEARED.  *TC	EVOQ	N		N	Y	Y	8	RWD		GS	AUTO										MARLEY MOTORS 		BELVIDERE	IL	61008	V			NHTSA				
